year,state,month,cases
2022,KERALA,1,0.0
2022,KERALA,2,18.0
2022,KERALA,3,0.0
2022,KERALA,4,0.0
2022,KERALA,5,18.0
2022,KERALA,6,10.0
2022,KERALA,7,0.0
2022,KERALA,8,0.0
2022,KERALA,9,0.0
2022,KERALA,10,0.0
2022,KERALA,11,0.0
2022,KERALA,12,0.0
2022,ASSAM,1,0.0
2022,ASSAM,2,0.0
2022,ASSAM,3,0.0
2022,ASSAM,4,0.0
2022,ASSAM,5,2.0
2022,ASSAM,6,0.0
2022,ASSAM,7,6.0
2022,ASSAM,8,0.0
2022,ASSAM,9,0.0
2022,ASSAM,10,0.0
2022,ASSAM,11,0.0
2022,ASSAM,12,0.0
2022,MADHYA PRADESH,1,0.0
2022,MADHYA PRADESH,2,0.0
2022,MADHYA PRADESH,3,0.0
2022,MADHYA PRADESH,4,0.0
2022,MADHYA PRADESH,5,0.0
2022,MADHYA PRADESH,6,1.0
2022,MADHYA PRADESH,7,0.0
2022,MADHYA PRADESH,8,0.0
2022,MADHYA PRADESH,9,0.0
2022,MADHYA PRADESH,10,0.0
2022,MADHYA PRADESH,11,0.0
2022,MADHYA PRADESH,12,0.0
2022,KARNATAKA,1,0.0
2022,KARNATAKA,2,0.0
2022,KARNATAKA,3,0.0
2022,KARNATAKA,4,0.0
2022,KARNATAKA,5,0.0
2022,KARNATAKA,6,0.0
2022,KARNATAKA,7,1.0
2022,KARNATAKA,8,0.0
2022,KARNATAKA,9,2.0
2022,KARNATAKA,10,9.0
2022,KARNATAKA,11,1.0
2022,KARNATAKA,12,15.0
2022,UTTAR PRADESH,1,0.0
2022,UTTAR PRADESH,2,0.0
2022,UTTAR PRADESH,3,0.0
2022,UTTAR PRADESH,4,0.0
2022,UTTAR PRADESH,5,0.0
2022,UTTAR PRADESH,6,0.0
2022,UTTAR PRADESH,7,0.0
2022,UTTAR PRADESH,8,0.0
2022,UTTAR PRADESH,9,0.0
2022,UTTAR PRADESH,10,0.0
2022,UTTAR PRADESH,11,9.0
2022,UTTAR PRADESH,12,0.0
2022,MAHARASTRA,1,0.0
2022,MAHARASTRA,2,0.0
2022,MAHARASTRA,3,0.0
2022,MAHARASTRA,4,0.0
2022,MAHARASTRA,5,0.0
2022,MAHARASTRA,6,0.0
2022,MAHARASTRA,7,0.0
2022,MAHARASTRA,8,0.0
2022,MAHARASTRA,9,0.0
2022,MAHARASTRA,10,0.0
2022,MAHARASTRA,11,0.0
2022,MAHARASTRA,12,0.0
2022,TAMIL NADU,1,0.0
2022,TAMIL NADU,2,0.0
2022,TAMIL NADU,3,0.0
2022,TAMIL NADU,4,0.0
2022,TAMIL NADU,5,0.0
2022,TAMIL NADU,6,0.0
2022,TAMIL NADU,7,0.0
2022,TAMIL NADU,8,0.0
2022,TAMIL NADU,9,0.0
2022,TAMIL NADU,10,0.0
2022,TAMIL NADU,11,0.0
2022,TAMIL NADU,12,0.0
